name,pulse,quality,swh,t_p,t_m,d_p,d_m,wswh,wt_p,wt_m,wd_p,sw1_swh,sw1_t_p,sw1_d_p,sw2_swh,sw2_t_p,sw2_d_p,ide_sys,curr_speed,curr_dir,curr_x,curr_y,wspd_proc,u_x,u_y,wind_sig,wind_dir,sog_proc,cog_proc,hdg_proc
2022-12-01_14-54-28,1,0,1.1520,12.4408,8.8448,0.0000,347.0288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,5.1630,91.4518,5.1613,-0.1308,4.2981,0.0587,0.0117,8.2593,40.2594,5.1047,91.6000,88.6000
2022-11-30_16-58-29,1,0,1.0257,10.5103,8.8026,0.0000,283.2768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,5.5930,67.8861,5.1816,2.1055,2.8709,-0.0021,-0.0099,4.0614,247.5503,5.5987,67.8000,66.0000
2022-11-30_10-56-36,1,0,1.1455,12.4408,9.7096,350.0000,261.4114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,5.0829,68.3129,4.7231,1.8783,6.2300,0.0137,0.0042,13.9412,305.4404,5.0686,68.3000,70.9000
2022-11-30_07-56-25,1,0,1.0695,17.4171,9.1171,180.0000,208.6440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.9105,68.2412,4.5606,1.8203,3.1588,0.0025,-0.0028,4.9082,262.9859,4.9091,68.2000,68.9000
2022-11-29_15-53-35,1,0,0.9298,5.0800,8.0535,0.0000,111.9494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,5.8869,82.6550,5.8386,0.7526,3.6406,-0.0044,-0.0063,6.3254,295.7944,5.8920,82.6000,76.0000
2022-11-29_11-56-59,1,0,1.0862,16.9333,10.1015,0.0000,85.1003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,5.6855,81.1330,5.6176,0.8764,3.2062,-0.0001,-0.0033,5.0477,293.6872,5.6861,81.1000,83.4000
2022-11-28_12-57-09,1,1,2.8975,16.4757,13.7515,320.0000,313.2837,0.0000,0.0000,0.0000,0.0000,2.8975,15.6308,310.0000,0.0000,0.0000,0.0000,1,5.0937,52.5187,4.0421,3.0995,8.3352,-0.1118,0.2765,20.1331,49.5414,5.0223,55.8000,54.4000
2022-11-28_17-54-33,1,1,2.9207,15.2400,13.3045,320.0000,312.1436,0.0000,0.0000,0.0000,0.0000,2.9207,14.8683,300.0000,0.0000,0.0000,0.0000,1,5.2096,56.2968,4.3340,2.8908,8.4803,-0.0644,0.3102,20.5597,40.8464,5.0995,59.6000,54.8000
2022-11-28_07-56-20,1,1,2.9417,16.4757,14.5865,320.0000,313.1012,0.0000,0.0000,0.0000,0.0000,2.9417,15.6308,310.0000,0.0000,0.0000,0.0000,1,4.0054,57.6845,3.3850,2.1412,8.4765,-0.1751,0.2002,20.5485,81.4025,4.0549,61.4000,57.8000
2022-11-27_16-58-28,1,1,1.9921,12.4408,11.6777,320.0000,309.9358,1.9921,12.4408,11.0999,320.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.5242,51.6470,3.5479,2.8073,6.7070,-0.0688,0.2748,15.3442,329.7090,4.4151,55.0000,56.0000
2022-11-27_10-58-55,1,1,1.8492,13.2522,11.5331,320.0000,323.5820,0.0000,0.0000,0.0000,0.0000,1.8492,13.2522,320.0000,0.0000,0.0000,0.0000,1,6.5206,57.2650,5.4850,3.5260,7.4652,-0.0595,0.1549,17.5741,28.0483,6.4889,58.7000,54.9000
2022-11-27_07-53-31,1,1,1.8680,12.4408,11.1147,330.0000,327.0875,0.0000,0.0000,0.0000,0.0000,1.8680,11.9529,330.0000,0.0000,0.0000,0.0000,1,6.6915,54.2259,5.4290,3.9118,7.1243,0.0335,0.1339,16.5714,20.8669,6.5867,55.0000,56.0000
2022-11-26_16-49-40,1,1,1.6199,12.9702,11.2861,330.0000,325.6918,0.0000,0.0000,0.0000,0.0000,1.6199,12.9702,330.0000,0.0000,0.0000,0.0000,1,6.2968,58.0268,5.3415,3.3343,4.7506,-0.0353,0.1036,9.5900,34.8255,6.2728,59.0000,57.9000
2022-11-26_11-57-04,1,1,2.3576,13.2522,11.8325,330.0000,327.8733,0.0000,0.0000,0.0000,0.0000,2.3576,13.2522,330.0000,0.0000,0.0000,0.0000,1,5.4096,55.1964,4.4419,3.0876,6.7622,0.0522,0.2478,15.5063,104.6267,5.2282,57.1000,59.1000
2022-11-26_08-04-22,1,1,2.4376,13.2522,12.0277,330.0000,325.7361,0.0000,0.0000,0.0000,0.0000,2.4376,13.2522,320.0000,0.0000,0.0000,0.0000,1,5.0472,53.3032,4.0469,3.0161,7.4891,0.0792,0.2585,17.6443,71.2009,4.8319,55.2000,58.8000
2022-11-25_16-55-54,1,1,2.1119,12.7000,11.3295,320.0000,316.8860,0.0000,0.0000,0.0000,0.0000,2.1119,12.1920,320.0000,0.0000,0.0000,0.0000,1,5.1782,24.4860,2.1462,4.7124,6.7687,0.2667,-0.1331,15.5256,61.3622,5.1973,21.2000,23.3000
2022-11-25_12-56-50,1,1,2.0825,12.4408,11.5990,330.0000,323.0765,0.0000,0.0000,0.0000,0.0000,2.0825,12.4408,330.0000,0.0000,0.0000,0.0000,1,5.4432,25.9529,2.3821,4.8943,7.0610,0.1917,-0.0956,16.3854,134.6530,5.4494,23.7000,20.4000
2022-11-25_09-00-57,1,1,2.2518,12.9702,11.6946,330.0000,325.2962,0.0000,0.0000,0.0000,0.0000,2.2518,12.9702,330.0000,0.0000,0.0000,0.0000,1,5.1988,18.8708,1.6815,4.9194,7.6438,0.2542,-0.1583,18.0993,78.5635,5.2745,15.7000,21.5000
2022-11-24_16-56-53,1,0,2.1025,16.4757,13.0215,0.0000,337.6411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.5935,6.4723,0.5178,4.5642,7.1041,0.1625,-0.0534,16.5119,31.0177,4.6312,4.4000,10.3000
2022-11-24_12-57-42,1,1,1.7410,12.1920,11.0323,330.0000,328.9989,0.0000,0.0000,0.0000,0.0000,1.7410,11.9529,330.0000,0.0000,0.0000,0.0000,1,4.8353,32.8682,2.6242,4.0613,7.6784,0.1915,-0.1017,18.2012,30.8222,4.8216,30.3000,31.8000
2022-11-24_08-56-13,1,1,1.3607,12.1920,9.7336,80.0000,45.0982,0.0000,0.0000,0.0000,0.0000,1.3607,6.3500,80.0000,0.0000,0.0000,0.0000,1,5.2450,354.0382,-0.5448,5.2166,6.9904,0.0802,0.0518,16.1777,348.8309,5.2024,353.1000,355.1000
2022-11-23_16-54-24,1,1,1.2080,10.3322,8.8897,70.0000,48.9748,1.2080,7.2571,6.9951,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.3424,358.1035,-0.1437,4.3400,7.6074,0.1309,0.0933,17.9925,37.2216,4.2556,356.3000,358.1000
2022-11-23_07-55-49,1,1,1.1391,10.3322,8.9501,100.0000,85.3619,0.0000,0.0000,0.0000,0.0000,1.1391,6.7733,100.0000,0.0000,0.0000,0.0000,1,4.3304,354.5600,-0.4105,4.3109,8.1639,0.0596,-0.0171,19.6290,358.7528,4.3534,353.8000,0.4000
2022-11-23_12-54-17,1,1,1.1725,10.5103,8.8763,80.0000,54.9953,0.0000,0.0000,0.0000,0.0000,1.1725,7.0069,80.0000,0.0000,0.0000,0.0000,1,4.2114,353.2568,-0.4945,4.1822,8.2550,0.1076,0.1046,19.8972,27.9619,4.1218,351.6000,0.9000
2022-11-22_18-53-16,1,0,1.1445,10.5103,9.2826,0.0000,16.2642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.5805,357.1245,-0.2298,4.5747,8.2776,0.0737,0.0050,19.9636,37.9699,4.5798,356.2000,2.4000
2022-11-22_12-56-02,1,0,1.1884,10.3322,9.4964,0.0000,355.1660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.7050,355.5690,-0.3635,4.6910,7.9208,0.0309,-0.0061,18.9141,38.5080,4.7136,355.2000,359.0000
2022-11-21_19-00-39,1,0,1.1361,9.0985,9.3555,0.0000,7.1847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.2533,356.5442,-0.2564,4.2456,7.9573,0.0401,0.0055,19.0215,339.3006,4.2505,356.0000,358.9000
2022-11-21_12-56-34,1,0,1.1500,9.0985,9.4503,0.0000,347.2927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.3544,355.2527,-0.3604,4.3395,8.0722,0.0822,-0.0172,19.3594,35.2349,4.3791,354.2000,1.4000
2022-11-22_06-57-13,1,0,1.2390,10.3322,9.7027,0.0000,11.4394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.2401,354.4659,-0.4089,4.2203,7.3005,0.0474,0.0203,17.0896,23.5389,4.2247,353.8000,359.5000
2022-11-21_06-58-19,1,0,1.2121,10.3322,9.5127,0.0000,354.1542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.2075,355.7502,-0.3118,4.1959,7.9291,0.1230,-0.0116,18.9386,315.4177,4.2299,354.1000,355.9000
