name,pulse,quality,swh,t_p,t_m,d_p,d_m,wswh,wt_p,wt_m,wd_p,sw1_swh,sw1_t_p,sw1_d_p,sw2_swh,sw2_t_p,sw2_d_p,ide_sys,curr_speed,curr_dir,curr_x,curr_y,wspd_proc,u_x,u_y,wind_sig,wind_dir,sog_proc,cog_proc,hdg_proc
2022-11-14_12-54-34,1,1,1.8374,11.5019,9.3189,150.0000,127.0218,1.8374,7.1718,7.1985,150.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,0.2257,321.8439,-0.1394,0.1775,6.4124,-0.2472,0.2121,14.4777,169.3603,0.1132,107.8000,131.0000
2022-11-14_08-55-40,1,1,1.3056,10.5103,10.2468,90.0000,94.1810,1.3056,7.5259,7.0404,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.7501,351.1083,-0.7342,4.6931,6.6274,0.1667,-0.0751,15.1100,124.1899,4.8525,349.3000,349.4000
2022-11-13_18-56-54,1,1,1.6839,12.1920,10.7602,180.0000,119.1936,1.6839,11.5019,9.4895,180.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.6681,344.1216,-1.2772,4.4900,6.8452,0.0391,-0.1004,15.7504,157.4662,4.7753,344.0000,346.5000
2022-11-13_12-56-44,1,1,1.9289,13.8545,11.1237,0.0000,290.8042,0.0000,0.0000,0.0000,0.0000,1.9289,11.7231,0.0000,0.0000,0.0000,0.0000,1,4.1506,79.9549,4.0870,0.7240,6.6921,-0.0201,0.1102,15.3002,116.5597,4.1527,81.5000,86.3000
2022-11-13_10-57-57,1,1,2.0565,13.5467,11.2929,0.0000,321.0451,0.0000,0.0000,0.0000,0.0000,2.0565,11.7231,0.0000,0.0000,0.0000,0.0000,1,4.2674,77.9290,4.1731,0.8924,7.1699,0.0125,0.1588,16.7056,78.9206,4.2247,80.0000,82.3000
2022-11-12_16-56-24,1,1,2.2436,14.1767,12.2396,0.0000,347.6478,0.0000,0.0000,0.0000,0.0000,2.2436,14.5143,0.0000,0.0000,0.0000,0.0000,1,4.9924,263.4132,-4.9594,-0.5727,6.3302,-0.0045,-0.1740,14.2360,137.1645,4.9709,265.4000,259.0000
2022-11-12_12-57-00,1,0,1.8173,17.9294,13.1749,0.0000,343.4174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.4347,171.7143,0.6391,-4.3884,6.2320,-0.1187,0.0917,13.9471,125.6669,4.5438,170.4000,164.6000
2022-11-12_07-29-25,1,1,1.8471,12.1920,11.4978,330.0000,303.6629,1.2974,7.3446,7.5074,140.0000,1.3147,12.1920,330.0000,0.0000,0.0000,0.0000,2,5.2981,40.6632,3.4523,4.0189,5.8937,0.1752,0.0716,12.9522,133.0734,5.1304,39.7000,44.4000
2022-11-11_18-56-30,1,1,2.0117,13.8545,11.3718,330.0000,324.9207,0.0000,0.0000,0.0000,0.0000,2.0117,13.5467,330.0000,0.0000,0.0000,0.0000,1,4.9029,58.3516,4.1738,2.5726,5.1726,0.0856,0.1548,10.8312,159.9685,4.7496,59.4000,71.1000
2022-11-11_12-52-52,1,0,1.8116,14.1767,11.3950,0.0000,346.7731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.4086,317.5161,-2.9775,3.2512,5.2488,0.1013,-0.1323,11.0552,184.4925,4.5746,317.7000,324.9000
2022-11-11_08-52-08,1,1,1.7241,17.4171,12.9448,330.0000,356.7957,0.0000,0.0000,0.0000,0.0000,1.7241,17.4171,330.0000,0.0000,0.0000,0.0000,1,4.0732,173.3120,0.4744,-4.0454,6.3727,-0.0896,0.1259,14.3609,116.5361,4.2093,172.3000,169.6000
2022-11-10_18-57-09,1,1,1.9551,17.4171,14.0554,0.0000,344.6092,0.0000,0.0000,0.0000,0.0000,1.9551,16.9333,0.0000,0.0000,0.0000,0.0000,1,3.4127,43.9570,2.3688,2.4566,6.7508,-0.1570,-0.0168,15.4730,171.0102,3.5352,45.6000,48.4000
2022-11-10_12-57-22,1,1,2.1897,16.9333,13.6456,0.0000,1.6878,0.0000,0.0000,0.0000,0.0000,2.1897,16.9333,0.0000,0.0000,0.0000,0.0000,1,5.1694,221.5766,-3.4305,-3.8670,7.3575,-0.2087,-0.0681,17.2574,162.1555,4.9812,220.3000,214.2000
2022-11-10_08-56-55,1,1,2.1853,17.4171,13.2939,0.0000,1.8199,2.1853,7.6200,7.3872,120.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,5.2098,221.0212,-3.4194,-3.9306,7.5307,-0.2775,-0.0919,17.7669,114.4032,4.9606,219.3000,208.3000
2022-11-09_16-57-36,1,1,2.5272,16.9333,12.0452,0.0000,110.2430,2.5272,7.3446,7.0758,110.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,0.3462,300.0276,-0.2998,0.1733,7.6135,-0.3389,0.3173,18.0102,146.3426,0.1492,164.8000,149.5000
2022-11-09_12-58-19,1,0,1.5828,13.8545,11.8963,0.0000,14.7307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,5.1336,337.8740,-1.9336,4.7556,7.6059,0.1520,-0.1339,17.9881,174.4601,5.3156,336.9000,341.7000
2022-11-09_10-57-17,1,1,1.5650,16.0421,11.7384,0.0000,37.1878,0.0000,0.0000,0.0000,0.0000,1.5650,7.4341,80.0000,0.0000,0.0000,0.0000,1,5.1270,336.3400,-2.0575,4.6960,7.4677,0.1422,-0.0865,17.5813,205.5812,5.2642,335.3000,340.0000
2022-11-09_06-57-04,1,1,2.1537,17.4171,10.6148,150.0000,151.9989,2.1537,7.6200,7.4952,150.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,0.5052,340.5134,-0.1685,0.4762,7.5130,-0.2957,0.2827,17.7146,150.2880,0.2316,33.3000,127.5000
2022-11-08_12-57-42,1,1,1.3888,14.5143,11.3526,210.0000,187.3630,0.0000,0.0000,0.0000,0.0000,1.3888,13.8545,210.0000,0.0000,0.0000,0.0000,1,5.1102,334.3858,-2.2092,4.6080,7.4743,0.2354,-0.0483,17.6009,79.9105,5.2590,332.3000,340.2000
2022-11-08_16-52-53,1,1,1.9735,11.5019,9.3964,150.0000,156.0027,1.2333,11.5019,8.8866,200.0000,1.5406,7.1718,130.0000,0.0000,0.0000,0.0000,2,0.7130,331.8877,-0.3360,0.6289,7.6818,-0.2859,0.3975,18.2111,185.8502,0.2367,347.8000,118.1000
2022-11-08_10-54-30,1,1,1.5733,10.6947,10.3165,170.0000,176.8624,1.5733,10.5103,8.9998,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,5.4380,269.1753,-5.4375,-0.0783,7.7842,0.1167,-0.2722,18.5124,173.7336,5.5575,272.0000,270.2000
